name,uid,password,role
Alfred ,567268292872,nmbdnm,owner
Lee,767681288221,abcd,owner
Harris,897872876263,vdsjsa,owner
Donald ,326434566873,sjdbfkj,owner
Earl ,837434566859,nmxbckj9,owner
Gladys ,327437766853,12345678,owner
Harold ,217434906827,iuhd98,owner
Willson,617430966843,ijsdf09,owner
Hilda ,567434566890,kjh09,owner
Davis,657434566875,2e387,owner
Johnson,845434566854,jygdyu,owner
Norman ,297434566894,iuyewu,owner
Norma ,427876566832,lieud9,owner
Pearl ,204345668893,lkdjfs09,owner
Thomas,833634566742,lki9d,owner
Walker,694004566800,iuewy,owner
Smith,571434566345,cd,owner
Brown,721434566866,dce332,owner
Johns,967434564478,kjhciu,owner
Miller,104345664987,ikhjdoic,owner
Martin,310434866864,nicxs,owner
Taylor,909345668768,mju9,owner
Anderson,427434508536,9837ei,owner
Moore,707466866994,idsf,owner
Thompson,457464566893,kdhc98,owner
Clark,374348966874,kjhd8,owner
