name,contactNumber,emailId,uid,password,address
Alfred ,8628787273,alfred@gmail.com,567268292872,nmbdnm,Goregaon
Lee,9063789896,lee@gmail.com,767681288221,abcd,Shastri Nagar
Harris,9593789239,harris@gmail.com,897872876263,vdsjsa,Bamhanpuri
Donald ,9467432200,donald@gmail.com,326434566873,sjdbfkj,Gajanur
Earl ,8467432215,earl@gmail.com,837434566859,nmxbckj9,Aminabad
Gladys ,9667432136,gladys@gmail.com,327437766853,12345678,Bandra
Harold ,9767432173,harold@gmail.com,217434906827,iuhd98,Amausi
Willson,8567432183,willson@gmail.com,617430966843,ijsdf09,Narsobawadi
Hilda ,8067431243,hilda@gmail.com,567434566890,kjh09,Null Bazar
Davis,9400432139,davis@gmail.com,657434566875,2e387,Tilakwadi
Johnson,9767434375,johnson@gmail.com,845434566854,jygdyu,Aptur
Norman ,9867432184,norman@gmail.com,297434566894,iuyewu,Kalikapur
Norma ,8567432932,norma@gmail.com,427876566832,lieud9,Sangrun
Pearl ,8567432111,pearl@gmail.com,204345668893,lkdjfs09,Bettadapura
Thomas,9467432856,thomas@gmail.com,833634566742,lki9d,Malkhed
Walker,9767432154,walker@gmail.com,694004566800,iuewy,Kavane
Smith,9400432136,smith@gmail.com,571434566345,cd,Alupura
Brown,9400432675,brown@gmail.com,721434566866,dce332,Chinhat
Johns,9447432176,johns@gmail.com,967434564478,kjhciu,Jaynagar
Miller,8567432164,miller@gmail.com,104345664987,ikhjdoic,Ashok Nagar
Martin,9867432123,martin@gmail.com,310434866864,nicxs,Bellandur
Taylor,9447432166,taylor@gmail.com,909345668768,mju9,Sangmavadi
Anderson,9467432218,anderson@gmail.com,427434508536,9837ei,Begumpet
Moore,9067432111,moore@gmail.com,707466866994,idsf,Uppal
Thompson,9067456678,thompson@gmail.com,457464566893,kdhc98,Jubilee 
Clark,9067432764,clark@gmail.com,374348966874,kjhd8,Gachibowli
